Facility Code,Facility UID,State Unique ID,Registration No,Alternate Name,Start Date,Ownership,Ownership Type,Facility Level,Facility Level Option,Days of Operation,Hours of Operation,State,LGA,Ward,Physical Location,Postal Address,Longitude,Latitude,Phone Number,Alternate Number,Email Address,Website,Operational Status,Registration Status,License Status,Out Patient Services,In Patient Services,Medical Services,Surgical Services,Obsterics and Gynecology Services,Pediatrics Services,Dental Services,Specific Clinical Services,Total number of Beds,Onsite Laboratory,Onsite Imaging,Onsite Pharmacy,Mortuary Services,Ambulance Services,Number of Doctors,Number of Pharmacists,Number Pharmacy Technicians,Number of Dentists,Number of Dental Technicians,Number of Nurses,Number of Midwifes,Number of Nurses/Midwifes,Number of Lab Technicians,Number of Lab Scientits,Health Records/HIM Officers,Number of Community Health Officer,Number of Community Health Extension Worker,Number of Junior Com Health Extension Worker,Number of Environmental Health Officers,Number of Health Attendant/Assistant:
04/01/1/1/2/0029,67153578,67153578,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia I,,,7.07791,6.03007,0806-492-4244,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",10,,,Yes,,No,1,,,,,,,,,,,,,,,4
04/01/1/1/2/0030,20250025,20250025,,,2019-01-04,Private,For Profit,Primary,Primary Health Clinic,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia I,NEAR UYO JUNCTION EKWULUOBIA,,7.075798,6.025784,0803-429-7338,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",10,Yes,,Yes,,No,,,,,,1,1,3,,1,,,,,,
04/01/1/1/2/0033,18122974,18122974,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia I,,,7.086219,6.018101,0802-642-5350,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Nutrition, Maternal and newborn care",7,,,Yes,,No,1,,,,,,,,,,,,,,,5
04/01/1/2/2/0060,27712309,27712309,,NKE AMAM GOD,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia I,,,7.08286,5.954826,0803-454-9045,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Hepatitis, Accidents and Emergency, Health Education and Community Mobilization, Maternal and newborn care",20,Yes,No,Yes,No,No,1,,3,1,,1,,1,,1,,,,,,
04/01/1/1/2/0038,20279368,20279368,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia I,ALONG ST JOHN ANGLICAN CHURCH EKWULUOBIA,,7.086711,6.015938,0803-374-3744,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Family Planning, Accidents and Emergency",21,Yes,,Yes,,No,7,2,,,,,2,3,2,3,,,,,,
04/01/1/2/2/0065,73966250,73966250,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia I,,,7.076541,6.025897,0806-339-2954,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Health Education and Community Mobilization, Maternal and newborn care",10,No,No,Yes,No,No,1,,,1,,2,1,,,,,,3,,,
04/01/1/2/2/0070,14961652,14961652,,,2019-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia I,,,7.085734,6.017362,0818-668-6646,,,,Operational,,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",10,No,No,Yes,No,No,1,1,,,,1,3,,1,,,,,,,
04/01/1/2/2/0066,47106197,47106197,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia II,,,7.08021,6.02005,0807-397-3110,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",20,Yes,No,Yes,No,No,3,1,1,3,,,,3,1,1,1,,2,,,6
04/01/1/2/1/0001,16698075,16698075,,,2000-01-01,Public,State Government,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia II,,,7.07959,6.01986,0703-637-6107,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",17,Yes,,Yes,Yes,Yes,3,1,1,1,2,2,1,10,,2,2,,,,,9
04/01/1/2/2/0079,18974277,18974277,,,2018-01-02,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia II,,,7.0853106,5.9941748,0802-706-1453,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",36,Yes,No,Yes,No,Yes,2,,,,,,1,,,,,,,,1,1
04/01/1/2/2/0009,66410758,66410758,,NKE NWAOBI,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia II,,,7.0715252,6.0255517,0803-473-4266,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",10,Yes,,Yes,,No,1,1,2,,,,2,2,2,,2,,4,,,4
04/01/1/1/1/0050,28637960,28637960,,,2001-08-01,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",8HOURS,Anambra,Aguata,Ekwuluobia II,,,7.07314,5.97676,0806-735-1337,,,,Operational,Registered,Licensed,Yes,,,,,,,"Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization",2,No,No,Yes,No,No,,,,,,,,,,,,,,1,,1
04/01/1/1/1/0030,25783651,25783651,,,2000-01-01,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ekwuluobia II,Near Nwafor umunkwo ula,,7.08901,5.98001,0802-774-2543,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",3,,,Yes,,No,,,,,,1,1,1,,,,,1,,,4
04/01/1/1/1/0007,79083205,79083205,,,1997-01-04,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ezinifite I,Beside Aku Ezinifite Town hall,,7.05673,5.97419,0703-288-8886,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",4,,,Yes,,No,,,,,,,,1,,,,,,,,3
04/01/1/1/2/0062,57988004,57988004,,Nke Nwamarabia,1998-01-04,Private,For Profit,Secondary,Primary Health Clinic,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ezinifite I,,,7.02342,6.00805,0806-444-2846,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",5,No,No,Yes,No,No,,,,,,,,1,,,,,,,,1
04/01/1/2/2/0056,78952674,78952674,,,2019-09-09,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ezinifite I,,,7.05707,5.98535,0906-022-2830,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",6,Yes,No,Yes,No,No,2,,,2,,2,2,,,,,,,,,4
04/01/1/3/1/0053,39488263,39488263,,,2019-01-04,Public,State Government,Secondary,Teaching Hospital,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ezinifite II,,,7.05673,5.97517,0806-932-1457,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, Non Communicable Diseases, Health Education and Community Mobilization, Maternal and newborn care",15,No,No,No,Yes,Yes,3,,,3,,,,2,3,,,,1,,,6
04/01/1/1/1/0020,60476304,60476304,,,2000-01-01,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ezinifite II,Civic centre ifite Ezinifite,,7.05673,5.97419,0806-469-3970,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",6,,,Yes,,No,,,,,,,,1,,,,,,,,1
04/01/1/1/2/0063,87330571,87330571,,,2018-03-03,Private,For Profit,Primary,Primary Health Clinic,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Igboukwu 11,,,7.288422,6.0073797,0812-355-7223,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",3,No,No,Yes,No,No,,,,,,1,,,,,,,1,,,1
04/01/1/2/2/0073,33536888,33536888,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Igboukwu 11,,,7.02465,6.01015,0703-675-2040,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",12,No,No,Yes,No,No,1,,,1,,2,1,,,,,,,,,7
04/01/1/1/1/0021,27130471,27130471,,,2000-01-01,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Igboukwu 11,NEAR IGBOUKWU BOYS SECONDARY SCHOOL,,7.03222,6.00514,0806-012-5360,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",6,,,Yes,,No,,,,,,,,,,,,1,,1,,
04/02/1/1/1/0014,65747743,65747743,,,2017-01-01,Public,Local Government,Primary,Health Post,"Monday,Tuesday,Wednesday,Thursday,Friday",8HOURS,Anambra,Aguata,Igboukwu 11,Near Nkwo Igboukwu market,,7.02610403,6.02508741,0816-704-8494,,,,Operational,Registered,Licensed,Yes,,,,,,,,2,,,Yes,,No,,,,,,,,,,,,,1,,,
04/01/1/2/2/0074,43624347,43624347,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Igboukwu 11,,,7.02465,6.01138,0808-542-4988,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,8,Yes,No,Yes,No,No,1,,,,,,,,1,,,,,,,4
04/01/1/2/2/0061,63882790,63882790,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Igboukwu 11,,,7.03399959,6.02219838,0803-305-9207,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,8,No,No,Yes,No,No,1,,,1,1,2,,,,,,,,,,4
04/01/1/2/2/0057,35949173,35949173,,,1999-05-05,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Igboukwu 11,,,7.03521087,6.01574953,0706-912-8227,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,6,No,No,Yes,No,No,1,,,1,,,1,1,,,,,,,,4
04/01/1/2/2/0072,52431421,52431421,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Igboukwu 11,,,7.0227942,6.01618489,0803-616-0188,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,11,No,No,Yes,No,No,1,,,1,,2,2,2,1,,,,,,,2
04/01/1/2/2/0001,46150457,46150457,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Igboukwu I,NEAR NKWO IGBOUKWU MARKET,,7.021787,6.016667,0806-577-0810,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",20,Yes,,Yes,,No,2,,,2,,,,1,1,1,,,4,,,13
04/01/1/2/2/0004,81553729,81553729,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Igboukwu I,,,7.01645,6.0157,0812-207-5447,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Intensive Care Services , Communicable Diseases, Child Survival, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",25,Yes,,Yes,Yes,Yes,2,,1,2,,7,1,2,2,,,,,,,20
04/01/1/1/2/0064,15678299,15678299,,,2019-04-07,Private,For Profit,Secondary,Primary Health Clinic,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Igboukwu I,,,7.0188792,6.0162219,0806-092-0055,,,,Operational,Registered,Licensed,Yes,,,,,,,"HIV/ AIDS Services, Non Communicable Diseases, Hepatitis, Health Education and Community Mobilization",2,Yes,No,No,No,No,1,,,1,,3,1,1,2,,,,1,,,2
04/01/1/1/2/0085,62432919,62432919,,,2019-01-04,Private,For Profit,Primary,Primary Health Clinic,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Igboukwu I,,,7.01742,6.02921,0703-016-6241,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",4,No,No,Yes,No,No,1,,,1,,,,1,,,,,1,,,1
04/01/1/1/2/0023,21759292,21759292,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Igboukwu I,,,7.01641,6.01575,0814-505-8031,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",5,Yes,,Yes,,No,1,,,,,1,1,1,1,,,,,,,6
04/01/1/2/2/0081,63886828,63886828,,,2019-01-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Igboukwu I,,,7.01641,6.01575,0814-505-8031,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",5,Yes,No,Yes,No,No,1,,,1,,1,1,,1,,,,,,,6
04/01/1/2/2/0058,68740989,68740989,,,2019-05-04,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Igboukwu I,,,7.017084,6.0170558,0703-018-2126,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",3,Yes,No,Yes,No,No,1,,1,1,,,,,1,,,,,1,,2
04/01/1/1/2/0040,26704099,26704099,,,2000-01-01,Private,For Profit,Secondary,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Igboukwu I,,,7.0844572,6.0248409,0809-051-3465,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,"Antenatal Care (ANC), HIV/ AIDS Services, Non Communicable Diseases, Accidents and Emergency, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",15,Yes,,Yes,Yes,Yes,2,,1,,,1,1,,,,2,,,,,6
04/01/1/1/1/0022,66176511,66176511,,,2019-11-17,Public,Local Government,Primary,Primary Health Center,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Ikenga,NEAR IKENGA MARKET,,7.04645,6.00525,0806-241-6797,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",5,,,Yes,,No,,,,,,,,,,,,,1,,,1
04/01/1/1/2/0082,22215931,22215931,,,2019-01-01,Private,For Profit,Primary,Primary Health Clinic,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24Hours,Anambra,Aguata,Isuofia,,,7.07657,6.02516,0703-673-0340,,,,Operational,Registered,Licensed,Yes,,,,,,,"Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Non Communicable Diseases, Nutrition, Health Education and Community Mobilization, Maternal and newborn care",4,No,No,Yes,No,No,,,,,,,1,2,,,,,,,,1
